mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_score,ltk_raw,ltk_score,x2mr_raw,x2mr_score,acft_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_sec,ioct_tab,age,hgt_in,wt_lb,bmi,sex
82,8.3,73,34,74,94,100,6,72,964,82,483,72,67,802,270,896,157,Tabbed,21,70,173,24.29967754,Male
100,12.2,98,52,92,92,100,11,82,798,100,572,75,88,753,315,806,168,No Tab,22,73,192,25.95842032,Male
82,9.5,80,41,81,100,98,10,80,865,93,514,73,78,806,290,782,172,No Tab,22,66,182,27.78008351,Male
90,9.8,82,36,76,85,100,12,84,797,100,532,72,86,771,311,908,155,Tabbed,22,74,176,22.60790274,Male
86,8.4,73,41,81,88,100,17,94,868,93,527,89,91,757,312,936,150,Tabbed,21,67,175,26.66429523,Male
82,8.7,75,40,80,103,96,20,100,1011,77,510,75,81,834,288,848,162,No Tab,22,73,202,26.77386808,Male
62,6.5,65,17,63,118,82,6,72,891,90,434,57,83,813,324,780,256,No Tab,22,67,170,25.89668802,Female
62,5.7,63,12,61,145,67,0,0,1136,65,318,50,89,909,319,864,226,No Tab,22,69,138,20.41723178,Female
90,12.6,100,34,74,89,100,12,84,964,82,530,67,78,855,260,926,152,Tabbed,21,70,217,31.05757603,Male
90,9,77,57,97,95,100,20,100,752,100,564,107,100,703,375,908,155,Tabbed,22,68,161,25.26888952,Male
78,10.6,87,36,76,99,98,10,80,1054,72,491,72,83,776,287,758,178,No Tab,24,68,175,25.15710288,Male
90,12.3,99,39,79,89,100,17,94,862,94,556,85,84,790,297,830,164,No Tab,22,72,186,24.19442223,Male
74,11.5,93,34,74,95,100,14,88,918,87,516,75,79,757,296,940,149,Tabbed,22,76,212,26.05257736,Male
90,12.1,97,44,84,78,100,17,94,754,100,565,97,99,693,367,974,143,Tabbed,22,69,184,26.63693246,Male
82,7.7,69,46,86,84,100,20,100,720,100,537,93,87,655,350,944,148,Tabbed,21,67,153,23.93777223,Male
65,3.8,25,23,66,148,66,5,70,869,93,385,54,92,865,330,944,199,Tabbed,22,60,98,19.63259,Female
78,7.6,69,31,71,117,83,9,78,1057,72,451,52,72,898,288,874,223,No Tab,22,61,143,25.47659054,Female
90,12.7,100,42,82,90,100,8,76,922,87,535,74,82,805,289,762,177,No Tab,25,71,197,26.97431952,Male
100,12,97,45,85,88,100,10,80,853,95,557,86,91,746,326,920,153,Tabbed,21,74,214,27.76409108,Male
62,4.5,60,9,55,137,69,5,70,1005,78,394,50,85,909,314,844,232,No Tab,21,67,140,21.83513007,Female
100,12.6,100,27,68,84,100,5,70,963,82,520,58,74,841,251,718,189,No Tab,22,75,249,31.6505713,Male
70,8.6,74,38,78,97,99,22,100,904,89,510,70,83,807,284,782,172,No Tab,21,68,157,24.17024215,Male
82,8.6,74,34,74,105,95,12,84,1020,76,485,82,73,815,272,718,188,No Tab,25,67,209,33.15704937,Male
82,8.9,76,40,80,99,98,13,86,880,92,514,48,87,905,314,864,225,No Tab,21,66,184,29.27524847,Male
78,9.5,80,37,77,109,91,15,90,835,97,513,84,82,770,319,762,176,No Tab,22,70,189,25.71644969,Male
100,12.5,100,46,86,87,100,8,76,821,98,560,79,82,801,314,710,192,No Tab,23,74,232,30.01166036,Male
100,10.2,85,37,77,88,100,15,90,932,86,538,84,83,753,326,812,167,No Tab,22,70,194,27.8943044,Male
74,8.8,75,33,73,111,89,12,84,950,84,479,78,76,815,286,710,192,No Tab,22,68,150,23.54244365,Male
82,8.9,76,40,80,89,100,8,76,817,99,513,77,84,745,299,800,169,No Tab,23,71,193,27.03159395,Male
63,5.6,63,10,60,112,88,4,68,1042,74,416,51,92,830,328,946,196,Tabbed,21,65,140,23.17917492,Female
70,5.7,63,32,72,122,78,21,100,908,89,472,75,110,796,373,960,182,Tabbed,21,61,125,22.54403336,Female
78,7.8,69,23,66,97,99,9,78,853,95,485,65,86,728,292,830,164,No Tab,22,73,192,25.41478848,Male
62,5.3,62,21,65,117,83,6,72,926,87,431,60,80,831,325,950,191,Tabbed,22,63,118,20.76895516,Female
82,10,83,33,73,93,100,14,88,995,79,505,82,75,755,295,776,173,No Tab,22,70,189,26.88780888,Male
62,5.9,64,12,61,138,68,9,78,1121,66,399,52,82,925,310,844,232,No Tab,22,63,127,21.67307247,Female
100,11.3,92,46,86,88,100,10,80,969,82,540,80,80,825,289,800,169,No Tab,22,71,193,26.8345562,Male
62,5.6,63,2,20,121,79,0,0,869,93,317,68,81,755,288,768,175,Tabbed,21,73,188,25.55069644,Female
90,8.4,73,45,85,113,87,18,96,880,92,523,83,92,758,315,944,148,Tabbed,22,67,160,25.23170586,Male
100,12.2,98,46,86,81,100,17,94,813,99,577,89,90,744,330,954,146,Tabbed,21,73,211,28.13294768,Male
74,10.2,85,21,65,90,100,7,74,792,100,498,82,90,747,319,824,165,No Tab,21,74,201,25.91315167,Male
70,6.4,65,16,63,131,70,0,0,1096,68,336,43,72,895,284,804,245,No Tab,22,67,159,24.4841414,Female
82,8.4,73,43,83,100,98,12,84,926,87,507,80,80,837,283,782,172,No Tab,22,74,194,25.5165218,Male
86,11.6,94,35,75,94,100,13,86,912,88,529,75,82,800,283,718,187,No Tab,28,73,206,26.57420146,Male
82,8.9,76,35,75,95,100,12,84,846,95,512,72,79,755,291,830,164,No Tab,22,72,176,23.64798501,Male
74,8.4,73,35,75,105,95,0,0,1005,78,395,76,79,699,282,690,197,No Tab,22,69,194,28.70869388,Male
100,12.7,100,32,72,87,100,4,68,1027,75,515,60,61,799,244,680,208,No Tab,23,72,270,36.69514915,Male
90,10.5,87,50,90,86,100,19,98,737,100,565,82,100,695,359,978,142,Tabbed,22,72,192,26.69479289,Male
74,10,83,43,83,89,100,11,82,872,93,515,79,94,701,341,768,175,No Tab,23,72,190,26.55502958,Male
82,10.1,84,44,84,93,100,15,90,762,100,540,86,100,685,351,932,151,Tabbed,25,73,189,24.5910521,Male
90,9,77,41,81,101,97,13,86,948,84,515,81,84,744,293,740,181,No Tab,22,71,198,26.77386808,Male
64,7.3,68,14,62,122,78,3,65,939,85,422,78,73,733,292,914,154,Tabbed,23,67,165,24.68351901,Female
90,11.1,91,36,76,88,100,11,82,874,92,531,77,80,784,286,836,163,No Tab,22,74,227,27.93136899,Male
90,8.4,73,44,84,96,99,10,80,918,87,513,100,87,798,296,740,181,No Tab,23,72,224,29.08619066,Male
62,4.9,61,7,45,143,67,0,0,991,79,314,60,91,924,313,844,236,No Tab,23,64,129,21.34485173,Female
90,10.7,88,42,82,91,100,10,80,812,99,539,81,88,683,336,770,174,No Tab,21,69,198,28.03808947,Male
68,6.4,65,20,65,141,68,7,74,970,82,422,60,86,920,316,864,226,No Tab,23,65,140,23.39315758,Female
90,10.5,87,46,86,100,98,16,92,863,94,547,85,88,754,324,936,150,Tabbed,22,71,185,24.73524868,Male
74,6.9,67,25,67,104,96,10,80,883,91,475,81,89,759,309,830,164,No Tab,22,67,160,23.7693146,Male
90,8.4,73,35,75,95,100,8,76,735,100,514,60,76,776,277,794,170,No Tab,21,72,191,24.98768197,Male
90,10.8,89,24,67,113,87,6,72,825,98,503,60,90,759,285,830,164,No Tab,22,77,211,24.83560373,Male
70,9.4,79,32,72,88,100,5,70,955,83,474,80,78,720,297,988,140,Tabbed,22,72,168,22.83253725,Male
90,8.3,73,41,81,99,98,16,92,954,83,517,87,97,770,336,872,160,No Tab,22,68,154,22.49340964,Male
74,8.8,75,21,65,111,89,3,65,943,85,453,70,87,831,282,680,204,No Tab,23,71,201,28.75701484,Male
70,9.4,79,12,61,107,93,0,0,896,90,393,57,77,823,253,690,200,No Tab,22,73,192,24.98768197,Male
70,6.3,65,24,67,118,82,10,80,931,86,450,62,92,785,351,908,209,Tabbed,23,68,138,20.87433398,Female
100,12.4,99,50,90,83,100,16,92,857,94,575,85,91,715,349,908,155,Tabbed,22,72,188,24.85547201,Male
90,9.3,79,44,84,92,100,12,84,748,100,537,102,93,726,356,992,137,Tabbed,22,68,168,25.59772342,Male
78,7.6,69,25,67,97,99,7,74,1006,78,465,73,72,810,267,762,176,No Tab,22,71,197,27.60673425,Male
