mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_score,ltk_raw,ltk_score,x2mr_raw,x2mr_score,acft_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_sec,ioct_tab,age,hgt_in,wt_lb,bmi,sex
82,11,90,46,86,90,100,10,80,793,100,538,83,94,765,318,812,167,No Tab,22,72,222,29.62793524,Male
100,14.3,100,40,80,95,100,11,82,906,89,551,75,81,784,289,806,168,No Tab,22,75,195,23.92328017,Male
100,10.3,85,35,75,93,100,10,80,900,89,529,85,84,768,294,944,148,Tabbed,21,72,201,27.39360946,Male
82,9.3,79,25,67,99,98,8,76,910,88,490,84,83,738,322,940,149,Tabbed,23,74,189,23.67359805,Male
74,8.1,71,36,76,110,90,11,82,807,100,493,90,83,755,310,806,168,No Tab,23,69,181,27.57849964,Male
78,9.6,81,29,69,122,78,3,65,1069,71,442,75,81,900,272,690,201,No Tab,21,72,221,29.49202728,Male
90,6.3,65,24,67,116,84,16,92,934,86,484,98,77,852,273,750,179,No Tab,23,67,159,24.17024215,Male
82,8,70,46,86,89,100,20,100,819,98,536,98,90,722,343,960,145,Tabbed,21,66,155,24.17024215,Male
82,9.5,80,47,87,90,100,12,84,876,92,525,76,89,731,325,836,163,No Tab,21,71,164,22.92118342,Male
74,9.9,82,18,64,94,100,10,80,898,90,490,73,84,745,314,872,160,No Tab,22,75,180,22.77297204,Male
90,8.7,75,33,73,88,100,14,88,972,81,507,80,80,818,283,734,183,No Tab,23,72,189,24.45884214,Male
82,8.8,75,33,73,105,95,11,82,866,93,500,77,93,726,331,914,154,Tabbed,22,72,166,22.6416568,Male
90,10.4,86,37,77,94,100,7,74,887,91,518,75,81,748,313,896,157,Tabbed,21,69,191,27.3191641,Male
90,11.6,94,36,76,93,100,16,92,891,90,542,78,79,796,288,936,150,Tabbed,22,70,191,27.67281317,Male
100,12.3,99,50,90,93,100,25,100,856,94,583,88,91,725,323,914,154,Tabbed,21,68,162,25.11193989,Male
60,8.3,73,16,63,110,90,1,60,1048,73,419,50,69,884,284,772,263,No Tab,21,68,201,30.32111286,Female
70,7.8,69,23,66,109,91,4,68,1034,75,439,75,77,828,278,690,198,No Tab,22,67,180,28.25093238,Male
100,11.7,95,38,78,87,100,10,80,900,89,542,67,68,831,265,710,192,No Tab,22,72,244,31.59817985,Male
63,5,62,20,65,153,65,0,0,1129,65,320,45,79,971,279,758,267,No Tab,21,63,135,24.56016642,Female
64,5.3,62,14,62,130,70,0,0,959,83,341,46,99,885,328,780,253,No Tab,21,67,157,23.8563429,Female
82,10.7,88,36,76,85,100,15,90,847,95,531,60,70,782,229,690,200,No Tab,22,73,194,25.82251236,Male
74,8.8,75,28,69,100,98,5,70,830,97,483,80,84,734,321,830,164,No Tab,22,74,194,25.25210189,Male
100,12.2,98,47,87,86,100,11,82,840,96,563,77,81,760,297,872,160,No Tab,22,74,205,26.37547609,Male
90,9.2,78,54,94,91,100,25,100,747,100,562,105,104,687,375,994,135,Tabbed,22,69,174,25.00911992,Male
90,12.9,100,39,79,87,100,12,84,905,89,542,74,84,794,293,782,172,No Tab,23,74,197,25.64873176,Male
90,9.3,79,47,87,95,100,13,86,901,89,531,76,83,788,288,890,158,Tabbed,23,69,175,25.16238799,Male
100,14.2,100,31,71,84,100,15,90,863,94,555,80,73,771,292,770,174,No Tab,24,78,209,23.73966257,Male
78,9.8,82,35,75,83,100,9,78,753,100,513,72,78,810,285,718,189,No Tab,23,69,196,28.264745,Male
78,8.6,74,23,66,102,97,9,78,1030,75,468,71,71,795,260,690,198,No Tab,22,70,182,25.73752828,Male
78,9.8,82,34,74,100,98,14,88,841,96,516,74,79,814,283,830,164,No Tab,21,75,189,23.93091977,Male
82,7.4,68,30,70,114,86,7,74,1021,76,456,72,80,802,278,680,205,No Tab,22,70,191,25.99597632,Male
62,5.7,63,12,61,144,67,11,82,935,86,421,72,92,845,351,874,222,No Tab,22,66,143,23.12906371,Female
64,5.9,64,19,64,117,83,6,72,921,87,434,48,83,873,297,884,217,No Tab,22,66,136,22.51214831,Female
90,9.3,79,27,68,97,99,10,80,989,80,496,65,88,724,288,806,168,No Tab,22,69,182,25.88131336,Male
90,9.1,77,44,84,94,100,20,100,825,98,549,100,93,735,348,936,150,Tabbed,21,66,153,25.51376808,Male
