sex,height,weight,IOCT_Time,pu_score,su_score,run_score,CS,APFT_Score,tab
M,68,153,163,90,54,75,0,219,0
F,61,135,278,91,94,100,0,285,0
M,69,185,191,109,100,114,0,323,0
M,71,191,171,86,93,89,0,268,0
F,67,169,277,93,73,82,1,248,0
M,70,170,167,125,125,114,0,364,0
M,68,181,174,100,100,68,0,268,0
M,74,200,162,100,100,88,0,288,0
F,65,140,208,100,100,79,0,279,1
M,67,147,152,125,104,100,0,329,1
M,71,180,184,100,100,90,0,290,0
M,62,150,153,100,100,89,0,289,1
M,70,178,177,100,76,63,0,239,0
M,70,178,172,76,81,84,0,241,0
M,70,184,198,100,76,48,0,224,0
F,64,120,249,123,101,115,0,339,0
M,71,178,169,100,100,88,0,288,0
M,73,216,161,115,104,108,1,327,0
M,74,200,192,89,100,70,0,259,0
M,69,180,243,63,82,56,0,201,0
M,67,128,223,86,66,66,0,218,0
F,66,152,262,100,100,95,0,295,0
M,71,173,166,100,100,88,0,288,0
F,64,146,299,67,84,100,0,251,0
M,72,214,176,85,100,100,0,285,0
F,63,125,222,108,112,101,1,321,0
M,72,200,172,97,97,92,0,286,0
M,67,161,232,83,79,93,0,255,0
M,71,171,168,79,78,89,0,246,0
F,66,130,198,93,100,100,0,293,1
F,65,114,234,100,97,100,0,297,0
M,74,175,154,106,107,125,1,338,1
F,64,147,201,100,100,98,0,298,1
F,64,144,208,100,66,100,0,266,1
M,69,201,214,100,95,68,1,263,0
M,73,192,171,96,84,97,0,277,0
F,67,158,445,88,76,79,0,243,0
M,66,172,154,122,104,102,0,328,1
M,72,159,211,75,97,82,1,254,0
M,70,197,186,100,100,82,0,282,0
M,67,183,174,100,76,70,1,246,0
F,67,144,229,70,68,93,0,231,0
M,72,216,164,100,90,92,0,282,0
F,60,112,225,103,107,104,0,314,0
M,70,180,196,85,76,78,1,239,0
M,75,219,185,79,97,97,0,273,0
M,75,196,184,89,100,86,0,275,0
M,65,153,176,81,81,63,0,225,0
M,67,175,192,68,92,64,0,224,0
M,68,171,183,97,92,74,0,263,0
M,71,188,213,89,100,75,0,264,0
M,69,171,181,96,98,72,0,266,0
M,69,191,172,92,65,87,0,244,0
M,69,167,161,113,101,110,0,324,0
M,70,162,168,100,100,89,0,289,0
M,70,181,181,100,100,74,0,274,0
F,65,138,295,95,100,100,0,295,0
M,74,193,181,97,100,100,0,297,0
M,70,173,152,124,124,118,1,366,1
M,67,174,167,98,76,98,0,272,0
M,71,173,169,97,95,79,0,271,0
F,66,140,194,116,105,107,1,328,1
M,69,182,169,100,86,85,0,271,0
M,72,177,191,66,82,56,0,204,0
F,65,159,261,74,89,83,0,246,0
M,67,172,203,72,73,77,0,222,0
M,71,171,218,75,66,90,0,231,0
M,72,178,152,100,100,97,0,297,1
M,74,219,187,79,66,92,0,237,0
M,70,178,179,100,94,100,0,294,0
M,67,134,178,96,84,88,0,268,0
M,66,172,261,89,57,99,0,245,0
M,74,201,171,99,98,82,0,279,0
M,72,198,181,89,99,82,1,270,0
M,72,196,194,94,100,94,0,288,0
M,71,192,167,86,100,74,0,260,0
M,74,181,177,75,71,96,0,242,0
F,63,150,337,100,78,77,0,255,0
M,70,182,165,93,100,89,1,282,0
M,75,217,174,97,95,100,0,292,0
F,71,179,233,76,86,92,1,254,0
F,63,143,261,100,100,75,0,275,0
M,71,151,187,85,90,74,0,249,0
F,71,175,242,88,74,100,0,262,0
F,63,131,249,100,100,90,0,290,0
M,76,172,204,88,81,92,0,261,0
F,62,135,266,100,78,87,1,265,0
M,74,175,181,75,68,99,0,242,0
M,66,209,215,93,100,70,0,263,0
M,79,193,159,100,84,100,0,284,0
M,73,233,335,75,68,77,0,220,0
F,63,136,221,100,90,92,1,282,0
F,65,154,262,100,100,76,0,276,0
F,70,161,252,88,89,88,1,265,0
M,73,216,196,81,95,60,1,236,0
M,71,170,174,86,86,94,0,266,0
M,71,168,183,100,95,61,0,256,0
M,70,182,179,93,100,86,0,279,0
M,74,199,183,100,86,79,1,265,0
M,71,185,176,74,97,85,0,256,0
M,70,178,152,71,100,100,0,271,1
M,65,164,163,92,66,100,0,258,0
M,67,137,186,100,100,74,0,274,0
M,68,150,155,66,76,89,0,231,1
M,69,143,215,62,91,74,0,227,0
F,71,138,292,105,102,105,0,312,0
M,72,158,160,97,94,71,0,262,0
F,64,123,354,100,100,95,0,295,0
M,71,160,193,100,100,89,1,289,0
M,70,177,199,86,87,86,1,259,0
F,64,162,321,100,79,77,1,256,0
M,68,185,203,100,100,71,1,271,0
M,70,198,150,100,100,83,1,283,1
F,62,123,191,100,92,100,1,292,1
M,69,155,152,83,84,82,0,249,1
M,68,167,173,81,65,72,0,218,0
F,69,150,261,72,76,84,0,232,0
M,75,161,168,109,112,125,1,346,0
M,74,192,166,83,84,93,0,260,0
M,69,174,174,100,89,71,0,260,0
M,75,194,184,89,89,75,0,253,0
F,65,148,290,97,50,87,0,234,0
F,63,120,188,100,101,117,0,318,1
M,68,181,204,99,71,85,0,255,0
M,69,148,162,100,100,97,0,297,0
M,76,229,210,60,65,67,0,192,0
M,71,181,179,100,87,99,0,286,0
M,71,195,182,100,95,97,1,292,0
M,70,192,198,109,101,100,0,310,0
M,70,157,180,64,97,97,0,258,0
M,73,182,218,97,100,92,0,289,0
M,76,225,245,100,100,79,0,279,0
M,76,213,195,60,66,48,0,174,0
F,64,128,232,111,107,104,1,322,0
M,70,176,170,89,63,100,0,252,0
F,65,140,312,100,70,94,0,264,0
M,72,159,160,77,86,100,0,263,0
M,69,193,173,100,100,72,1,272,0
F,68,159,207,103,106,115,1,324,1
M,72,170,168,97,63,100,0,260,0
M,72,190,187,92,71,89,0,252,0
M,74,176,156,122,122,125,1,369,1
M,70,176,185,94,60,56,0,210,0
F,65,165,228,113,108,105,1,326,0
M,72,203,182,100,71,96,1,267,0
M,71,189,196,100,57,90,0,247,0
F,67,154,184,125,105,116,0,346,1
F,71,145,226,100,82,100,0,282,0
M,71,207,180,100,97,79,1,276,0
M,70,177,181,81,84,100,0,265,0
M,70,150,184,82,95,97,0,274,0
M,69,161,177,86,76,79,1,241,0
F,65,175,345,84,86,85,0,255,0
M,68,193,177,98,100,91,1,289,0
M,73,167,146,125,116,114,1,355,1
